trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
252,False,"{'a': 0.4, 'e': 0.08024793100055946}",30,12,26.86522690582398,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.4, 'e': 0.07944545169055386}",25,2,-0.7935192942907077,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 0}",1
254,False,"{'a': 0.4, 'e': 0.07865099717364833}",25,11,24.881276108206627,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.4, 'e': 0.07786448720191184}",25,9,33.00516139940727,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.4, 'e': 0.07708584232989273}",25,0,-7.541559950124066,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
257,False,"{'a': 0.4, 'e': 0.0763149839065938}",30,14,29.246048271218456,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.4, 'e': 0.07555183406752786}",30,21,17.427421204002105,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.4, 'e': 0.07479631572685258}",20,0,-35.63126491605086,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
260,False,"{'a': 0.4, 'e': 0.07404835256958406}",30,21,19.266279762497547,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.4, 'e': 0.07330786904388821}",25,12,22.25654900078154,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.4, 'e': 0.07257479035344933}",25,14,10.051398416262831,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
263,False,"{'a': 0.4, 'e': 0.07184904244991484}",30,18,23.48499782947086,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.4, 'e': 0.07113055202541568}",20,0,18.093769023116828,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
265,False,"{'a': 0.4, 'e': 0.07041924650516153}",25,11,-12.463196357418397,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
266,False,"{'a': 0.4, 'e': 0.06971505404010991}",25,4,34.728461522533,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.4, 'e': 0.06901790349970881}",25,18,13.842547994069962,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.4, 'e': 0.06832772446471172}",20,14,10.408879441034545,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.4, 'e': 0.0676444472200646}",30,7,-47.01536756569536,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 2}",1
270,False,"{'a': 0.4, 'e': 0.06696800274786396}",30,14,31.637344453914757,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.4, 'e': 0.06629832272038531}",25,15,17.620844992179613,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.4, 'e': 0.06563533949318147}",25,3,24.157721899833096,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.4, 'e': 0.06497898609824965}",30,14,30.991122081048765,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.4, 'e': 0.06432919623726716}",20,0,26.163024578947635,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
275,False,"{'a': 0.4, 'e': 0.06368590427489448}",20,8,16.187899833745213,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.4, 'e': 0.06304904523214554}",20,10,16.46076104442533,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.4, 'e': 0.06241855477982408}",30,0,40.64690387991186,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
278,False,"{'a': 0.4, 'e': 0.06179436923202584}",30,10,37.82260779319293,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.4, 'e': 0.06117642553970558}",25,16,15.139837474894762,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.4, 'e': 0.06056466128430853}",30,14,16.252480954186073,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
281,False,"{'a': 0.4, 'e': 0.05995901467146544}",25,14,18.16299390018614,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.4, 'e': 0.059359424524750785}",20,0,-21.675642305662844,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
283,False,"{'a': 0.4, 'e': 0.05876583027950327}",20,9,19.313058687596865,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.4, 'e': 0.05817817197670824}",25,19,10.357121389330182,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.4, 'e': 0.05759639025694116}",20,15,8.215524558239427,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.4, 'e': 0.057020426354371746}",25,15,16.71078803875653,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.4, 'e': 0.05645022209082803}",25,19,13.140612261586526,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.4, 'e': 0.05588571986991975}",20,11,17.356690157145742,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.4, 'e': 0.05532686267122055}",25,2,40.85616178954247,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.4, 'e': 0.05477359404450834}",30,16,26.162913196608397,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.4, 'e': 0.05422585810406326}",20,8,21.24795160813039,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.4, 'e': 0.05368359952302263}",30,19,21.892579194580886,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.4, 'e': 0.0531467635277924}",30,7,-12.218635828044434,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
294,False,"{'a': 0.4, 'e': 0.05261529589251448}",25,16,16.8167695002788,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.4, 'e': 0.05208914293358933}",30,20,15.535332890808151,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.4, 'e': 0.05156825150425344}",25,13,23.16718831520879,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.4, 'e': 0.0510525689892109}",20,10,-0.3494753663775194,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
